route,point,ordinal_date_1,ordinal_date_2,ordinal_date_3,min_sun_1,min_sun_2,min_sun_3,y_1,y_2,y_3,cars_1,cars_2,cars_3,wind_1,wind_2,wind_3,temp_1,temp_2,temp_3,lat,long,canopy
rose,10,-0.9666373842406686,-0.37316167159763997,0.5500227702915157,0.6078164330458119,-1.0101063741324694,-0.9081899768299004,0,0,0,1.3912540054308995,2.597201109929667,1.0897672293062077,0.08043129712509453,-0.8437866336776528,-0.8437866336776528,-0.7028642626740954,-0.038789864453414306,0.5204306814166338,32.699755,-87.610176,1.2863426905545747
rose,11,-0.9666373842406686,-0.37316167159763997,0.5500227702915157,0.8880865256278764,-1.3285951157029972,-1.213939168737607,1,1,1,2.295714333804975,-0.4176666513172512,-0.11617987519255944,0.8506129061273842,-0.8437866336776528,-0.8437866336776528,-0.5980104103234625,0.17091784024785403,0.41557682906599963,32.699816,-87.622185,2.749146116481086
rose,12,-0.9666373842406686,-0.37316167159763997,0.5500227702915157,1.1683566182099407,-1.6343443076107036,-1.5196883606453138,0,0,0,1.0897672293062077,-0.719153427441943,-0.719153427441943,-0.8437866336776528,-0.8437866336776528,-0.8437866336776528,-0.2834488532715599,0.2058691243647313,0.8349922384685351,32.69981,-87.63336,1.3420775353558074
sawy,02,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-1.6598234069363458,1.537803558431753,-1.5961256586222405,0,0,0,-0.11617987519255944,-0.11617987519255944,0.18530690093213234,-0.22764134647582118,-0.38167766827627914,-0.07360502467536333,-0.5980104103234625,1.3243102161048264,-0.8776206832584852,32.665476,-87.703948,-1.2901830096290872
sawy,03,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-1.3668137646914604,1.2575334658496886,-1.303116016377355,0,0,0,-0.11617987519255944,-0.4176666513172512,0.18530690093213234,-0.22764134647582118,0.2344676189255524,-0.8437866336776528,-0.3533514215053156,0.3107229767153655,-0.8077181150247296,32.674736,-87.703967,-0.9995621229025672
sawy,04,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-1.086543672109396,0.9772633732676241,-1.0228459237952905,1,0,0,0.18530690093213234,0.788280453181516,1.6927407815555913,-0.8437866336776528,-0.22764134647582118,-0.8437866336776528,0.031112703780341394,-0.3533514215053156,-1.297036092661022,32.683386,-87.703938,-0.10275653145418574
sawy,05,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-0.7807944802016893,0.7097328303483807,-0.742575831213226,0,0,0,1.0897672293062077,-0.4176666513172512,-0.4176666513172512,-0.8437866336776528,-0.8437866336776528,-0.8437866336776528,-0.5630591262065839,-1.4018899450116549,-1.1222796720766322,32.692056,-87.708988,1.1596060256289227
sawy,06,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-0.5005243876196248,0.4039836384406741,-0.4240870896426982,0,0,0,-0.4176666513172512,-0.719153427441943,-0.11617987519255944,-0.8437866336776528,-0.38167766827627914,-0.8437866336776528,-0.5980104103234625,-1.506743797362289,-0.9824745356091195,32.702954,-87.71303,1.0675707583592111
sawy,07,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,-0.2202542950375604,0.13645309552143076,-0.1310774473978126,0,0,0,-0.11617987519255944,-0.719153427441943,0.48679367705682414,-0.8437866336776528,-0.8437866336776528,-0.8437866336776528,-0.7028642626740954,-1.681500217946679,-1.052377103842875,32.712674,-87.712695,2.475938035687287
sawy,08,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,0.07275534720732518,-0.15655654672345481,0.14919264518425185,1,1,1,-0.11617987519255944,1.994227557680283,0.48679367705682414,-0.38167766827627914,-0.8437866336776528,-0.8437866336776528,-0.49315655797282826,-2.3805259002842383,-0.6329616944403397,32.722097,-87.7126,3.030668855607266
sawy,09,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,0.3402858901265685,-0.4240870896426982,0.4422022874291374,1,1,1,1.0897672293062077,1.0897672293062077,-0.11617987519255944,0.6965765843269262,-0.8437866336776528,0.3885039407260104,-0.5281078420897055,-2.415477184401117,-0.24849756915468266,32.731616,-87.714563,1.6607517755297752
sawy,10,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,0.6587746316970964,-0.7170967318875837,0.735211929674023,0,1,0,0.18530690093213234,0.48679367705682414,0.788280453181516,-0.8437866336776528,-0.8437866336776528,-0.8437866336776528,0.031112703780341394,-2.5203310367517506,0.9747973749360465,32.741365,-87.718173,2.465966013038504
sawy,11,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,0.964523823604803,-1.0483250231209327,1.053700671244551,1,1,1,3.2001746621790503,2.295714333804975,2.597201109929667,0.08043129712509453,-0.8437866336776528,-0.8437866336776528,-0.038789864453414306,-2.415477184401117,0.4854793972997553,32.749872,-87.738293,1.3938419051051698
sawy,12,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,1.2702730155125097,-1.315855566040176,1.3594498631522576,0,0,0,-0.719153427441943,0.18530690093213234,1.0897672293062077,-0.38167766827627914,-0.8437866336776528,-0.8437866336776528,0.6951871020010237,-2.0310130591154585,0.41557682906599963,32.743906,-87.746652,0.32890842375052304
sawy,13,-0.6369286549945415,-0.04345294235151294,1.1434984829345443,1.5760222074202164,-1.6216047579478827,1.6906781543856066,0,1,0,0.18530690093213234,2.295714333804975,0.18530690093213234,-0.22764134647582118,-0.8437866336776528,0.6965765843269262,0.555381965533511,-2.5902336049855066,0.8699435225854135,32.736205,-87.754102,0.8309463397942916
sixt,01,-1.0325791300898939,-0.17533643404996374,1.077556737085319,-1.4942092613196716,1.6142408564086796,1.7671154523625332,0,0,0,-0.719153427441943,-0.4176666513172512,-0.4176666513172512,0.2344676189255524,0.08043129712509453,-0.22764134647582118,-3.498966992024334,0.38062554494912115,0.4854793972997553,32.615665,-87.637991,0.6776935040983846
sixt,02,-1.0325791300898939,-0.17533643404996374,1.077556737085319,-1.2266787184004282,1.321231214163794,1.4995849094432898,0,0,0,-0.719153427441943,-0.719153427441943,-0.719153427441943,-0.8437866336776528,-0.07360502467536333,-0.8437866336776528,-3.638772128491846,0.41557682906599963,0.38062554494912115,32.615466,-87.626647,0.3157680292540641
